designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
"Gaia DR3 3293793960988000512",3293793960988000512,69.10681697129469,10.388334853177922,0.004851639337057026,-0.5749372373434845,-0.6893534710820428,0.94737726,19.397732,19.871994,18.75982,1.1121731,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 3293793960988000768",3293793960988000768,69.12460486971803,10.389006565469813,0.8531129742076587,1.9695375569573002,-2.840538168020259,1.011694,20.17933,20.81371,19.293945,1.519764,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 3293793960990158080",3293793960990158080,69.11126999782302,10.38787271968754,,,,,20.895067,21.28688,19.569395,1.7174854,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 3293794029707481728",3293794029707481728,69.10455106809727,10.400997214790833,,,,,20.943144,21.284874,20.298386,0.98648834,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 3293794029707482112",3293794029707482112,69.10629413403237,10.401633443403707,1.0392671688469484,5.60729364492388,-8.729779669223579,1.0201131,20.492355,21.322348,19.301449,2.0208988,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 3293794102723298432",3293794102723298432,69.07243013083668,10.392159571522951,0.7637181044581043,6.48351089353222,-2.2228111723428237,1.0291711,17.045528,17.67347,16.290718,1.3827515,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,5007.1426,4.7384,-1.0572,881.2983,0.8356,0.6562,0.3568
"Gaia DR3 3293794102723299200",3293794102723299200,69.06488744712885,10.392885006818354,0.8719593845725047,3.2581628198205888,-2.2941894999739287,0.95413274,19.563797,20.13689,18.852726,1.2841644,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 3293794102723299840",3293794102723299840,69.06051261579685,10.389692534692324,1.8761453448291154,-4.692677305367299,3.0891249840794206,1.152273,19.31424,20.971832,17.983315,2.9885178,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 3293794132786695936",3293794132786695936,69.0507270678975,10.397127421841912,1.853277991243051,2.1512650953759795,-3.8937729116088238,1.0225203,19.285738,20.694822,18.129164,2.5656586,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 3293794137081717632",3293794137081717632,69.0402305353182,10.38776977162512,2.140325226245638,24.908062920407232,-30.233023798533498,1.0320154,19.231682,20.768349,17.997938,2.7704105,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
